SEC,STATE,GSR,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
0.0,1,512,0,0,0,0,0,0,0,0
0.5,1,502,0,0,0,0,0,0,0,0
1.0,1,501,0,0,0,0,0,0,0,0
1.5,1,503,0,0,0,0,0,0,0,0
2.0,1,498,0,0,0,0,0,0,0,0
2.5,1,512,0,0,0,0,0,0,0,0
3.0,1,507,0,0,0,0,0,0,0,0
3.5,1,510,0,0,0,0,0,0,0,0
4.0,1,492,0,0,0,0,0,0,0,0
4.5,1,499,0,0,0,0,0,0,0,0
5.0,1,498,0,0,0,0,0,0,0,0
5.5,1,513,0,0,0,0,0,0,0,0
6.0,1,505,0,0,0,0,0,0,0,0
6.5,1,511,13,4,12,5,6,6,3,8
7.0,1,501,13,4,12,5,6,6,3,8
7.5,1,502,8,22,5,6,14,9,9,8
8.0,1,500,8,22,5,6,14,9,9,8
8.5,1,498,632839,305515,211493,56231,20409,95458,5496,654001
9.0,1,508,632839,305515,211493,56231,20409,95458,5496,654001
9.5,1,505,1248833,184980,87352,14730,14919,70619,3823,796777
10.0,1,510,1248833,184980,87352,14730,14919,70619,3823,796777
10.5,1,492,903320,599581,58421,115380,12536,30254,847,736212
11.0,1,504,606096,260841,135999,27740,12421,50915,3654,756718
11.5,1,504,606096,260841,135999,27740,12421,50915,3654,756718
12.0,1,518,606096,260841,135999,27740,12421,50915,3654,756718
12.5,1,508,258950,22613,55455,9985,14671,25414,1431,190961
13.0,1,514,699904,121790,66195,81942,12320,50202,3784,791433
13.5,1,498,699904,121790,66195,81942,12320,50202,3784,791433
14.0,1,505,617590,420729,172350,29562,22782,86044,1859,737822
14.5,1,505,617590,420729,172350,29562,22782,86044,1859,737822
15.0,1,517,123137,448863,36041,8662,7099,39232,3613,732550
15.5,1,511,123137,448863,36041,8662,7099,39232,3613,732550
16.0,1,515,100432,37411,24635,13706,3460,11369,747,178120
16.5,1,509,100432,37411,24635,13706,3460,11369,747,178120
17.0,1,512,622853,255649,87574,40704,7263,93951,4218,778259
17.5,1,508,622853,255649,87574,40704,7263,93951,4218,778259
18.0,1,509,131126,115306,35294,3506,2095,18791,1158,179408
18.5,1,516,131126,115306,35294,3506,2095,18791,1158,179408
19.0,1,515,776064,262393,88717,50925,26785,23780,3963,693370
19.5,1,518,776064,262393,88717,50925,26785,23780,3963,693370
20.0,1,509,849647,91389,56939,40116,4725,62851,3397,707583
20.5,1,513,849647,91389,56939,40116,4725,62851,3397,707583
21.0,1,509,432297,452890,58178,28502,15346,58527,3358,751077
