SEC,STATE,GSR,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
50.5,1,530,17929,31965,9698,10016,5914,27503,5306,245739
51.0,1,532,17929,31965,9698,10016,5914,27503,5306,245739
51.5,1,534,34795,16878,37631,9254,17164,38744,7563,232720
52.0,1,520,34795,16878,37631,9254,17164,38744,7563,232720
52.5,1,527,9360,19988,4421,5918,12684,83532,6138,272014
53.0,1,525,9360,19988,4421,5918,12684,83532,6138,272014
53.5,1,535,176694,24772,4677,8855,16634,35478,2439,236237
54.0,1,532,176694,24772,4677,8855,16634,35478,2439,236237
54.5,1,534,117128,29752,4052,1877,8186,8568,3852,59098
55.0,1,536,293367,13022,15447,3137,8423,8250,1855,59309
55.5,1,527,293367,13022,15447,3137,8423,8250,1855,59309
56.0,1,531,259957,13060,1813,580,3188,26751,866,51589
56.5,1,527,259957,13060,1813,580,3188,26751,866,51589
57.0,1,539,167766,25605,6774,11963,8915,57451,2211,265278
57.5,1,535,167766,25605,6774,11963,8915,57451,2211,265278
58.0,1,539,601222,76089,17708,43261,10233,33655,4060,236493
58.5,1,526,601222,76089,17708,43261,10233,33655,4060,236493
59.0,1,531,193245,68312,4925,2799,10569,43764,4542,226997
59.5,1,531,193245,68312,4925,2799,10569,43764,4542,226997
60.0,2,542,44714,20242,7235,10902,68237,39422,2893,268306
60.5,2,538,44714,20242,7235,10902,68237,39422,2893,268306
61.0,2,540,102327,35936,3958,10795,19500,22190,4345,247147
61.5,2,536,102327,35936,3958,10795,19500,22190,4345,247147
62.0,2,534,709506,40744,5808,9686,2968,7646,1555,53283
62.5,2,533,709506,40744,5808,9686,2968,7646,1555,53283
63.0,2,534,64856,78765,8264,8321,14860,14125,4757,143537
63.5,2,529,64856,78765,8264,8321,14860,14125,4757,143537
64.0,2,526,588008,21431,2931,2870,10529,7244,1170,24048
64.5,2,524,588008,21431,2931,2870,10529,7244,1170,24048
65.0,2,516,2403698,86837,26800,59144,47872,51255,8310,90400
65.5,2,521,2403698,86837,26800,59144,47872,51255,8310,90400
66.0,2,514,210047,8215,6336,3816,9524,5829,1454,22796
66.5,2,518,210047,8215,6336,3816,9524,5829,1454,22796
67.0,2,512,734360,67081,52551,18805,30371,19506,6828,90906
67.5,2,518,734360,67081,52551,18805,30371,19506,6828,90906
68.0,2,507,21395,30448,48711,9965,9290,70259,7450,120793
68.5,2,514,21395,30448,48711,9965,9290,70259,7450,120793
69.0,2,517,18692,18557,1062,4479,19179,65081,7300,128034
69.5,2,521,18692,18557,1062,4479,19179,65081,7300,128034
70.0,2,521,30261,49479,11945,33324,16299,44500,2590,143263
70.5,2,522,30261,49479,11945,33324,16299,44500,2590,143263
71.0,2,525,172695,278066,39682,11790,30877,88084,16862,130106
71.5,2,521,172695,278066,39682,11790,30877,88084,16862,130106
72.0,2,520,2491,10664,8044,9629,20801,54958,7088,131982
72.5,2,531,2491,10664,8044,9629,20801,54958,7088,131982
73.0,2,525,7718,6217,10885,10001,18936,28593,9643,153702
73.5,2,529,7718,6217,10885,10001,18936,28593,9643,153702
74.0,2,519,5660,22145,13105,3702,41370,36961,2795,124052
74.5,2,524,5660,22145,13105,3702,41370,36961,2795,124052
75.0,2,526,15266,36009,28215,4371,7745,96591,3213,102061
75.5,2,522,15266,36009,28215,4371,7745,96591,3213,102061
76.0,2,528,357596,141379,25902,17391,20140,84847,6797,165464
76.5,2,526,357596,141379,25902,17391,20140,84847,6797,165464
77.0,2,530,19206,24523,967,16061,7726,54268,4912,147070
77.5,2,518,19206,24523,967,16061,7726,54268,4912,147070
78.0,2,524,14888,18798,15172,7949,9299,45856,2877,121092
78.5,2,524,14888,18798,15172,7949,9299,45856,2877,121092
79.0,2,530,154125,16363,3370,3460,6685,9434,686,28911
79.5,2,531,154125,16363,3370,3460,6685,9434,686,28911
80.0,2,528,12518,10291,4534,8080,12369,62423,5930,129399
80.5,2,533,12518,10291,4534,8080,12369,62423,5930,129399
81.0,2,521,543564,17931,2734,16742,11249,82379,5261,138388
81.5,2,530,543564,17931,2734,16742,11249,82379,5261,138388
82.0,2,526,61417,23854,10192,4547,22773,20557,10085,136241
82.5,2,537,61417,23854,10192,4547,22773,20557,10085,136241
83.0,2,531,98886,4851,1055,933,4556,21356,1328,29925
83.5,2,533,98886,4851,1055,933,4556,21356,1328,29925
84.0,2,535,509105,72424,8777,10649,44053,63492,2550,147912
84.5,2,522,509105,72424,8777,10649,44053,63492,2550,147912
85.0,2,529,332884,34754,15171,26313,17297,32356,5857,141127
85.5,2,529,332884,34754,15171,26313,17297,32356,5857,141127
86.0,2,535,71212,81832,40890,18571,14513,34204,4661,149826
86.5,2,535,71212,81832,40890,18571,14513,34204,4661,149826
87.0,2,532,71510,107164,19325,18063,13927,68445,3211,127588
87.5,2,539,71510,107164,19325,18063,13927,68445,3211,127588
88.0,2,528,139237,51500,62894,13450,6577,74524,6266,103584
88.5,2,532,139237,51500,62894,13450,6577,74524,6266,103584
89.0,2,535,102296,96868,23940,18000,7628,54043,2747,107643
89.5,2,534,102296,96868,23940,18000,7628,54043,2747,107643
90.0,2,543,14954,5763,22837,2065,34104,24509,4859,122826
90.5,2,536,14954,5763,22837,2065,34104,24509,4859,122826
91.0,2,536,291272,61161,9619,10210,16244,70220,6432,131925
91.5,2,539,291272,61161,9619,10210,16244,70220,6432,131925
92.0,2,528,49514,12653,22037,9333,3500,61163,3886,130943
92.5,2,532,49514,12653,22037,9333,3500,61163,3886,130943
93.0,2,535,21539,24940,24343,6715,27045,57296,6511,137511
93.5,2,535,21539,24940,24343,6715,27045,57296,6511,137511
94.0,2,543,34092,9239,5286,12334,14996,23948,5689,141908
94.5,2,543,34092,9239,5286,12334,14996,23948,5689,141908
95.0,2,540,14794,29985,10690,25291,7032,66658,4387,136673
95.5,2,542,14794,29985,10690,25291,7032,66658,4387,136673
96.0,2,532,24852,40176,6400,2853,31238,18040,4010,133414
96.5,2,537,24852,40176,6400,2853,31238,18040,4010,133414
97.0,2,539,14439,4634,14798,7694,18468,76569,3536,111270
97.5,2,538,14439,4634,14798,7694,18468,76569,3536,111270
98.0,2,546,99228,58110,13059,11046,27827,21121,2349,135962
98.5,2,543,99228,58110,13059,11046,27827,21121,2349,135962
99.0,2,545,352607,108782,4370,25321,39185,62923,3545,128582
99.5,2,548,352607,108782,4370,25321,39185,62923,3545,128582
100.0,2,542,169680,240626,9746,32946,14880,21574,6505,146036
100.5,2,541,169680,240626,9746,32946,14880,21574,6505,146036
101.0,2,544,23450,26986,9507,4303,9600,85075,3094,137012
101.5,2,543,23450,26986,9507,4303,9600,85075,3094,137012
102.0,2,549,273723,72835,16986,5786,13488,44565,3905,145187
102.5,2,547,273723,72835,16986,5786,13488,44565,3905,145187
103.0,2,545,42720,15500,11242,8475,43075,35220,5324,129781
103.5,2,548,42720,15500,11242,8475,43075,35220,5324,129781
104.0,2,541,332031,68019,38783,10654,11937,48015,4491,138253
104.5,2,541,332031,68019,38783,10654,11937,48015,4491,138253
105.0,2,545,20816,10133,1586,5094,13206,54030,4979,137943
105.5,2,543,20816,10133,1586,5094,13206,54030,4979,137943
106.0,2,549,27346,57599,21273,13635,31079,13616,2974,170459
106.5,2,551,27346,57599,21273,13635,31079,13616,2974,170459
107.0,2,546,105164,20683,23868,32663,21352,32767,3605,123968
107.5,2,550,105164,20683,23868,32663,21352,32767,3605,123968
108.0,2,551,596849,29615,5970,3782,12673,14053,5980,26469
108.5,2,538,596849,29615,5970,3782,12673,14053,5980,26469
109.0,2,547,764675,19910,3076,5655,4062,2874,785,12124
109.5,2,548,764675,19910,3076,5655,4062,2874,785,12124
110.0,2,549,241824,88165,25357,26178,25580,12219,5807,11285
110.5,2,552,241824,88165,25357,26178,25580,12219,5807,11285
111.0,2,550,907392,34681,6801,5549,6235,1398,928,5280
111.5,2,553,907392,34681,6801,5549,6235,1398,928,5280
112.0,2,554,109120,6181,5818,4090,1564,2843,628,18471
112.5,2,540,109120,6181,5818,4090,1564,2843,628,18471
113.0,2,547,542269,71503,7293,6236,19906,11880,4207,56521
113.5,2,548,542269,71503,7293,6236,19906,11880,4207,56521
114.0,2,546,1129129,76008,4967,7568,63120,30097,4808,262084
114.5,2,556,1129129,76008,4967,7568,63120,30097,4808,262084
115.0,2,551,616328,143869,47475,15775,15484,24941,4387,260963
115.5,2,550,616328,143869,47475,15775,15484,24941,4387,260963
116.0,2,553,48500,119147,13660,25047,26497,37989,5953,281701
116.5,2,555,48500,119147,13660,25047,26497,37989,5953,281701
117.0,2,543,375154,20256,20485,2726,5479,22261,1936,62034
117.5,2,551,375154,20256,20485,2726,5479,22261,1936,62034
118.0,2,553,101969,109933,5611,9813,8270,9294,1063,56961
118.5,2,550,101969,109933,5611,9813,8270,9294,1063,56961
119.0,2,560,609571,54901,14532,6503,3773,5597,3112,56803
119.5,2,553,609571,54901,14532,6503,3773,5597,3112,56803
120.0,2,556,234117,4595,10187,5424,15918,5706,1334,47281
120.5,2,559,234117,4595,10187,5424,15918,5706,1334,47281
121.0,2,549,366025,55517,18609,13906,26063,20180,4300,219269
121.5,2,550,366025,55517,18609,13906,26063,20180,4300,219269
122.0,2,553,214810,244751,18393,33272,14189,19936,1440,198028
122.5,2,552,214810,244751,18393,33272,14189,19936,1440,198028
123.0,2,550,1063248,65878,31288,3256,17341,49655,3231,193816
123.5,2,563,1063248,65878,31288,3256,17341,49655,3231,193816
124.0,2,557,178453,87767,6216,11650,11229,61931,3884,167432
124.5,2,557,178453,87767,6216,11650,11229,61931,3884,167432
125.0,2,559,73770,22734,26504,8126,16300,49056,8637,171467
125.5,2,556,73770,22734,26504,8126,16300,49056,8637,171467
126.0,2,548,348910,16350,77623,29077,25465,16377,6043,215949
126.5,2,551,348910,16350,77623,29077,25465,16377,6043,215949
127.0,2,549,48405,57872,2536,3406,7334,3338,3526,8958
127.5,2,542,48405,57872,2536,3406,7334,3338,3526,8958
128.0,2,550,413951,4625,2340,2821,657,1547,246,4068
128.5,2,544,413951,4625,2340,2821,657,1547,246,4068
129.0,2,540,584402,7159,9674,3417,2983,7975,982,43254
129.5,2,541,584402,7159,9674,3417,2983,7975,982,43254
130.0,2,546,1091638,401150,68624,24354,10692,50867,4552,143129
130.5,2,537,1091638,401150,68624,24354,10692,50867,4552,143129
131.0,2,536,178337,37549,35151,8246,13720,20199,1161,42081
131.5,2,540,178337,37549,35151,8246,13720,20199,1161,42081
132.0,2,541,236438,42050,11571,35485,7669,32142,5190,168334
132.5,2,540,236438,42050,11571,35485,7669,32142,5190,168334
133.0,2,548,129555,19984,40781,25708,33398,28891,5861,174662
133.5,2,547,129555,19984,40781,25708,33398,28891,5861,174662
134.0,2,543,7818,15911,7014,6723,16597,43151,3911,204300
134.5,2,544,7818,15911,7014,6723,16597,43151,3911,204300
135.0,2,549,29669,28408,20464,17600,23834,54448,4341,161122
135.5,2,535,29669,28408,20464,17600,23834,54448,4341,161122
136.0,2,544,25325,12377,13072,18011,10765,109241,4915,148652
136.5,2,543,25325,12377,13072,18011,10765,109241,4915,148652
137.0,2,541,77231,63098,21642,41973,18009,29479,1673,137794
